image_id	number_of_downvotes
2713	87600
19697	86578
1437	85837
20727	81428
222	77889
3340	76882
7344	74141
12194	72822
18138	70420
15777	69028
1141	66384
10663	65802
1905	64421
4877	63134
18113	63102
7626	62598
2082	62377
20414	60498
7915	60029
18529	59401
2507	59397
2285	59087
651	58563
10188	58078
25049	57912
8116	56987
10125	56477
1307	55179
3079	55113
4548	54860
1833	54309
1537	53904
280	53898
21626	53818
20750	53662
15221	53026
12492	52226
546	51881
11098	51760
22214	51698
22478	51588
15155	51491
8301	51388
15566	51203
840	51113
16759	51052
17494	50382
15133	50302
7050	50246
3714	49705
3975	49692
21628	49424
17385	48935
11747	48871
6402	48725
2247	48577
1469	48498
6819	48371
9208	48359
3897	48224
22437	47980
7980	47799
15006	47634
411	47074
17917	47058
7782	47000
16948	46981
10008	46707
8932	46645
2901	46519
13660	46163
15008	46158
5021	45785
22262	45716
4299	45421
10541	45281
6923	45271
4969	45114
2755	45036
15091	44938
9900	44856
20703	44608
17631	44608
12608	44470
1179	44350
10926	44060
966	44010
18217	43683
10972	43660
6825	43401
8434	43381
6858	43281
20212	43091
4082	42916
989	42832
17318	42565
25600	42562
8346	42284
1757	42236
486	42119
24395	42063
9822	41922
10473	41893
5861	41852
14433	41850
667	41779
16327	41734
1914	41716
3587	41357
1692	41292
937	41278
15422	41223
23047	41199
19925	41187
4934	41151
2044	40892
11018	40844
7029	40776
8418	40757
24765	40725
2521	40692
7984	40596
14110	40395
12310	40389
3359	40385
4225	40250
13806	40232
2965	40213
6126	40171
7416	40146
2591	40035
7554	40017
21784	39800
17415	39774
20134	39724
9508	39716
21260	39703
5143	39702
2189	39634
12853	39629
7993	39580
22758	39495
21402	39430
12119	39380
9871	39325
10194	39231
1566	39178
7751	39164
3731	39144
8191	38988
6454	38980
10796	38782
13138	38746
11920	38724
10491	38709
7361	38694
2508	38648
3729	38638
141	38615
16861	38603
3783	38525
3800	38499
11268	38499
21772	38459
1168	38419
8037	38398
3160	38380
10085	38147
6844	38143
22839	38082
7066	37879
23276	37805
25713	37793
4754	37787
4152	37659
4160	37624
5915	37518
15197	37219
23424	37214
5314	37169
18203	37160
11985	37160
6981	37151
3536	37142
9030	37044
5848	37025
3363	36861
18535	36808
16935	36791
6152	36785
8035	36724
9100	36714
9382	36698
10893	36687
25288	36679
7613	36614
9574	36426
2229	36412
5026	36335
9662	36306
3052	36304
484	36268
5797	36225
9023	36219
4339	36191
5822	36082
11095	36045
14486	36042
6037	36010
7317	35998
13512	35948
5014	35938
9199	35857
4750	35717
3999	35700
6419	35656
5918	35559
6313	35495
14637	35486
16981	35473
13191	35461
15484	35428
4830	35417
2446	35404
17879	35341
16240	35325
3760	35305
15147	35238
525	35221
1957	35217
12218	35209
9835	35192
12927	35164
0	35087
5267	35019
8507	34992
19481	34952
17645	34935
996	34839
9854	34786
5784	34772
22044	34738
1121	34710
742	34638
11751	34628
