image_id	score
651	26239
22478	22949
7344	21987
6037	21146
4299	18190
840	17733
4877	17722
2521	17635
1437	17082
15777	16626
18529	16450
2285	16239
18203	16184
15006	15402
6984	15263
8434	14756
6219	14514
10125	13896
546	13737
1121	13292
4745	13243
18884	13172
12492	12940
3975	12811
20414	12758
486	12681
12194	12641
11205	12618
7751	12615
4797	12602
1905	12410
15566	12370
5267	12360
253	12324
551	12244
996	12220
7980	12185
4929	12120
1877	11902
199	11779
8010	11727
5918	11597
20727	11556
4845	11438
1141	11426
10103	11340
3363	11326
4310	11242
15155	11217
5312	11211
10312	11147
1809	11112
1669	11051
2022	10996
5919	10946
15008	10847
6233	10844
1757	10809
8301	10753
23029	10709
9964	10537
8035	10465
6952	10404
7457	10388
4780	10321
21936	10252
10289	10250
6825	10223
743	10202
7016	10184
4082	10184
5915	10147
14433	10105
5822	10104
6454	10052
3052	10036
3340	10033
280	9923
10926	9871
6886	9862
22262	9843
1839	9831
3749	9760
20250	9749
3356	9726
11216	9720
5143	9715
1385	9667
667	9619
4224	9554
9070	9550
7462	9487
4900	9481
14298	9467
1455	9456
3731	9450
1650	9444
3783	9416
7234	9390
8191	9387
4625	9356
12953	9277
6960	9254
1773	9254
9023	9234
742	9233
1463	9199
310	9194
3478	9098
7719	9094
5952	9004
12938	8987
1743	8978
7395	8943
17596	8940
777	8939
2755	8933
9620	8907
5861	8899
10491	8891
12017	8877
20175	8875
5563	8873
22079	8868
21738	8847
9817	8811
8702	8772
12608	8772
12598	8763
17879	8727
2970	8725
541	8719
17480	8710
2116	8684
1193	8673
11533	8640
8794	8624
1499	8620
1233	8590
2278	8586
12559	8573
10663	8569
19994	8559
647	8552
7361	8510
25186	8484
9619	8467
767	8465
1213	8454
1537	8443
8596	8438
18186	8420
4160	8402
7399	8397
3862	8392
23437	8342
13116	8311
11751	8289
5624	8286
2508	8282
3029	8280
683	8279
25512	8273
9407	8270
3204	8269
18113	8269
11098	8268
12196	8250
1018	8235
20154	8225
8878	8181
6844	8159
2987	8145
6034	8126
3282	8114
292	8103
7915	8059
8736	8052
3026	8050
10274	8045
4635	8041
16313	8035
9783	8023
21737	8009
2204	7990
3333	7975
16137	7970
11969	7969
8932	7964
12927	7961
2783	7952
4579	7950
14196	7940
616	7893
739	7883
7170	7853
1404	7853
13900	7839
7762	7811
408	7767
1491	7760
7293	7750
9419	7749
7590	7723
20871	7715
7477	7699
6514	7698
18217	7687
11747	7671
6313	7669
4292	7667
14365	7667
5848	7657
24335	7657
2188	7648
19180	7633
4868	7627
3496	7626
21402	7606
6329	7593
20668	7592
7416	7572
6392	7569
1529	7531
2044	7512
4271	7511
4524	7510
23102	7493
10654	7488
10600	7488
5539	7487
105	7472
9864	7470
19079	7461
21654	7455
1542	7431
6408	7430
1522	7428
7554	7417
17591	7414
7026	7397
773	7393
623	7392
2513	7384
3821	7362
4875	7349
989	7340
13653	7338
19964	7336
808	7318
3579	7313
3800	7312
3353	7292
11762	7269
11196	7267
4664	7264
7191	7263
4204	7259
24765	7259
10809	7258
1447	7251
4961	7222
7811	7219
5389	7215
25799	7209
19195	7206
5706	7196
24698	7182
19925	7173
10294	7154
1986	7152
3025	7147
1168	7147
8507	7146
7544	7143
5526	7140
6535	7135
16527	7132
15040	7131
15214	7130
3587	7125
7317	7124
449	7120
14833	7119
630	7118
5132	7117
6152	7110
22214	7109
14781	7108
6559	7106
13294	7105
19196	7101
16861	7096
14486	7085
10831	7078
21908	7074
23581	7065
5599	7064
19567	7042
1461	7042
12258	7036
8057	7009
17115	7000
6157	6992
23697	6981
6898	6975
5340	6960
2982	6950
9317	6935
592	6905
10143	6901
20556	6897
13247	6895
23246	6894
1891	6894
218	6892
12336	6891
1420	6885
21872	6884
1326	6878
206	6877
3926	6871
10107	6863
18502	6861
6637	6835
611	6828
15197	6825
10152	6825
10627	6819
16802	6812
20354	6808
19498	6805
10573	6804
17378	6800
17600	6791
15523	6788
1759	6778
1688	6767
5292	6765
12218	6750
10093	6750
9835	6748
22999	6744
5648	6735
4969	6730
14147	6723
8336	6705
2727	6699
23356	6689
20	6683
17214	6680
16535	6675
2229	6671
9382	6653
2725	6653
7510	6637
19493	6634
4518	6626
8678	6625
6834	6615
8895	6614
21669	6611
549	6601
8400	6584
14776	6580
20886	6572
6209	6552
7137	6551
6987	6539
22484	6536
20417	6536
2782	6534
12611	6529
14975	6528
8504	6527
4245	6511
20707	6507
1903	6503
12887	6499
7565	6496
2211	6496
7885	6489
12191	6489
15354	6487
15666	6484
1894	6477
20082	6475
1810	6475
22618	6467
3897	6466
22910	6456
17474	6455
728	6452
17694	6451
1865	6435
1833	6423
1728	6420
22264	6408
2724	6405
13256	6405
12902	6402
11527	6400
16981	6394
5790	6392
13573	6391
11245	6391
9852	6365
1476	6360
9948	6359
868	6354
5899	6342
7045	6340
17537	6337
16500	6334
4512	6330
17005	6327
4309	6322
858	6321
10623	6315
5365	6313
7993	6309
5021	6308
1692	6306
22465	6302
14060	6296
1364	6283
12796	6280
3259	6277
18258	6276
4337	6273
10200	6270
13323	6260
7164	6259
12900	6258
6473	6255
23398	6255
7402	6253
6740	6253
10204	6248
13138	6238
691	6236
5524	6233
1591	6220
1215	6218
8286	6217
5002	6215
13322	6215
11017	6215
177	6210
12933	6206
2406	6205
4002	6204
104	6204
3287	6203
11119	6203
1733	6201
4545	6196
2415	6193
1694	6184
22431	6171
11807	6169
10965	6165
13577	6164
13046	6156
23424	6148
842	6145
18912	6140
428	6137
11918	6130
5404	6127
12051	6125
8374	6122
3086	6122
15027	6121
15332	6120
2227	6118
12936	6117
24736	6116
21148	6116
20952	6116
21772	6114
10571	6114
9987	6105
2965	6094
20593	6093
8691	6092
1440	6092
3008	6090
3070	6086
8707	6081
4420	6071
19266	6062
5142	6058
323	6058
14977	6058
9983	6048
4327	6048
1191	6046
5930	6028
17771	6027
3999	6025
2031	6022
15856	6019
1066	6017
9115	6003
24894	6001
11828	6000
1382	5999
2412	5997
5392	5995
6288	5992
7104	5988
4282	5988
7869	5986
6312	5984
8107	5983
22437	5979
11730	5975
9530	5973
1459	5971
7118	5970
7949	5969
8346	5966
10837	5965
848	5961
5607	5959
5955	5958
16590	5956
13719	5956
132	5946
18049	5939
1450	5938
617	5933
4152	5933
1380	5933
6819	5932
5061	5932
6444	5922
25288	5922
21556	5919
7374	5917
3937	5916
19071	5915
763	5912
20367	5905
22963	5902
4246	5901
6010	5896
780	5889
20134	5885
3253	5882
4252	5872
222	5872
11680	5871
21109	5869
9480	5866
9086	5863
11540	5862
4056	5861
750	5859
4829	5858
24344	5854
16370	5852
9304	5851
4305	5849
3536	5846
3945	5842
3831	5838
4713	5836
20374	5835
16199	5834
14173	5824
20523	5807
1474	5807
484	5805
18174	5805
1789	5803
2885	5801
11128	5800
23812	5798
4987	5796
11911	5796
2208	5788
13831	5781
7709	5779
6297	5777
9077	5768
21658	5768
21745	5764
19896	5755
13349	5755
16759	5749
13795	5744
9827	5743
9838	5732
13673	5728
8030	5724
19009	5721
16418	5721
12494	5721
11784	5716
1882	5713
7320	5712
788	5710
13445	5709
38	5707
18244	5706
12119	5705
21250	5694
2509	5693
3433	5692
141	5691
20034	5687
21145	5686
2353	5681
21626	5679
4218	5671
25242	5669
15792	5665
216	5664
16152	5660
9189	5658
11920	5657
17419	5655
25174	5654
16819	5651
11523	5649
21685	5641
2073	5640
15682	5636
23	5631
2745	5627
12129	5626
6090	5624
5670	5623
11757	5618
16000	5615
12354	5613
1179	5609
10972	5606
18783	5602
21719	5599
25460	5591
4247	5589
10457	5589
24308	5588
18341	5588
12175	5582
17445	5581
6858	5575
19858	5575
624	5574
288	5574
10129	5574
18247	5571
5037	5569
444	5569
411	5569
6868	5566
5214	5563
12520	5562
7761	5561
10128	5560
8037	5553
53	5553
20506	5552
1276	5551
16948	5549
10743	5549
1318	5547
980	5545
13553	5544
4924	5535
7208	5528
7063	5528
5283	5526
3690	5524
5797	5523
6923	5516
1123	5510
25205	5509
2102	5509
11665	5506
4239	5505
8537	5499
45	5499
1887	5495
1951	5494
22092	5490
15312	5490
10674	5490
1506	5488
5054	5486
18604	5486
13080	5486
10439	5486
394	5484
20761	5484
20756	5473
5041	5472
25049	5469
3469	5468
1162	5464
1614	5458
5268	5456
8845	5455
25107	5452
10194	5452
1338	5450
5131	5443
2591	5441
16420	5437
22370	5436
2904	5433
23004	5425
4385	5424
19852	5421
4025	5419
23058	5419
3410	5418
5027	5417
20185	5416
9334	5413
14305	5411
10541	5409
18239	5405
10529	5405
1725	5401
9879	5400
8167	5398
5174	5391
1077	5391
8085	5389
6646	5388
16342	5384
8449	5381
7002	5381
9481	5379
15181	5379
5603	5367
12828	5366
23525	5364
4582	5363
19065	5362
10619	5362
614	5359
419	5358
7602	5356
25306	5355
18569	5349
1701	5349
2569	5342
3888	5338
21010	5337
15998	5337
9871	5335
3919	5335
8485	5328
4904	5327
19165	5326
9309	5322
15969	5322
5058	5320
12963	5317
2618	5316
8520	5315
8331	5311
22515	5311
11566	5308
19997	5307
9504	5306
3785	5306
3612	5304
11095	5293
14925	5292
10966	5283
23276	5282
11322	5281
8668	5276
7967	5274
1160	5273
24139	5271
10005	5269
22559	5266
12005	5266
9002	5260
3854	5256
6063	5255
1249	5254
22758	5249
7387	5247
700	5246
2129	5243
817	5239
16151	5233
3796	5231
2483	5230
555	5229
3745	5221
21530	5217
3364	5215
18209	5213
2713	5212
12576	5211
12173	5209
18240	5207
22820	5203
1849	5203
3294	5201
13929	5201
15660	5195
11386	5195
1846	5191
12015	5189
15123	5188
1847	5185
4695	5184
16905	5184
15764	5184
2697	5183
2303	5182
958	5180
5471	5179
21017	5178
10481	5178
23998	5177
5366	5175
19641	5174
321	5171
787	5169
7833	5167
4348	5167
937	5166
1307	5166
11728	5166
8054	5165
10822	5164
1206	5162
5668	5159
2121	5157
15298	5155
14368	5151
16136	5149
1331	5149
2153	5148
1462	5148
4113	5147
4697	5146
22426	5142
25131	5141
16964	5136
4520	5134
483	5133
21503	5133
16670	5133
14768	5132
2356	5127
13307	5127
15162	5126
6126	5124
2974	5123
16469	5117
3260	5112
4035	5110
3634	5104
13328	5104
15577	5103
1366	5102
16188	5101
11541	5100
8027	5099
1022	5097
2449	5096
21850	5094
18973	5094
6270	5093
16642	5092
248	5091
13142	5091
21910	5090
20750	5089
11903	5087
10168	5087
14588	5086
6982	5083
14574	5083
10014	5080
7710	5078
1837	5076
388	5074
5816	5073
9865	5070
84	5070
10946	5068
17206	5063
811	5062
3013	5062
3933	5054
7659	5050
4696	5048
4467	5048
22749	5040
22602	5038
2048	5032
7925	5031
4844	5028
2247	5027
16432	5023
9627	5021
12473	5018
998	5012
6253	5011
19112	5011
4728	5008
16371	5005
19952	4998
1014	4996
20928	4994
17007	4994
1405	4994
279	4993
1566	4993
12538	4993
18478	4992
3721	4991
1012	4990
1774	4988
12853	4987
11939	4987
24	4985
2752	4981
21524	4981
10209	4978
10096	4978
8961	4975
9634	4974
2069	4973
15264	4973
17200	4971
15050	4970
9310	4969
20212	4968
16692	4968
22529	4962
2119	4960
7573	4954
6515	4954
1448	4953
5803	4952
24220	4952
23033	4952
18510	4952
21589	4951
22741	4949
7097	4946
8150	4940
18002	4940
11268	4940
20143	4936
10195	4936
287	4930
25636	4930
5426	4929
2942	4928
3160	4927
12502	4926
3859	4925
90	4923
22399	4923
15301	4921
9330	4920
24936	4919
16185	4916
22282	4915
2127	4912
19911	4912
24340	4907
20340	4901
24792	4899
18231	4899
3566	4898
607	4897
21815	4897
13829	4896
10860	4896
10539	4894
8358	4893
4431	4893
21292	4891
17629	4890
16887	4890
13975	4889
12050	4885
2884	4883
11693	4883
9896	4879
15303	4879
14450	4876
13526	4875
12345	4875
7874	4874
15822	4874
2392	4873
15189	4873
9280	4872
8829	4872
3428	4872
7476	4868
1721	4868
23858	4864
11194	4861
2901	4860
21410	4859
9054	4858
