image_id	number_of_upvotes
1437	102919
7344	96128
20727	92984
2713	92812
19697	89262
3340	86915
15777	85654
12194	85463
651	84802
222	83761
4877	80856
1141	77810
1905	76831
18529	75851
2285	75326
22478	74537
10663	74371
18138	73809
20414	73256
18113	71371
10125	70373
840	68846
7915	68088
2082	67080
7626	66593
546	65618
12492	65166
280	63821
4299	63611
15566	63573
25049	63381
15006	63036
15155	62708
3975	62503
1537	62347
8301	62141
2507	61730
10188	61294
1833	60732
1307	60345
8116	60164
11098	60028
7980	59984
3079	59606
21626	59497
4548	59470
22214	58807
20750	58751
2521	58327
8434	58137
15221	57574
6037	57156
15008	57005
16759	56801
11747	56542
22262	55559
7050	55099
15133	55027
17494	54817
486	54800
3897	54690
8932	54609
6819	54303
21628	54278
2755	53969
22437	53959
10926	53931
6825	53624
2247	53604
3714	53452
18203	53344
12608	53242
17385	53189
4082	53100
1757	53045
9208	52977
411	52643
16948	52530
5021	52093
14433	51955
4969	51844
7751	51779
6402	51749
17917	51587
667	51398
7782	51382
2901	51379
18217	51370
1469	51253
6923	50787
5861	50751
10541	50690
13660	50671
989	50172
1179	49959
5143	49417
10972	49266
15091	49244
6454	49032
6858	48856
10008	48822
3731	48594
3587	48482
2044	48404
8191	48375
19925	48360
8346	48250
3363	48187
20212	48059
1121	48002
24765	47984
3783	47941
7416	47718
5915	47665
10491	47600
1692	47598
966	47512
17631	47512
7554	47434
5267	47379
9900	47302
7361	47204
8035	47189
5918	47156
20703	47125
996	47059
21402	47036
2508	46930
937	46444
3052	46340
2965	46307
6844	46302
5822	46186
199	46066
4160	46026
7993	45889
10473	45874
3800	45811
23047	45785
16861	45699
253	45613
20134	45609
17318	45591
1168	45566
2591	45476
9023	45453
1914	45298
6126	45295
12310	45174
7984	45114
4310	45103
12119	45085
16327	45084
24395	45020
13138	44984
15422	44937
25600	44917
22758	44744
10194	44683
5848	44682
9871	44660
12853	44616
21772	44573
21260	44506
7029	44482
11920	44381
8418	44322
551	44313
21936	44309
141	44306
9822	44283
4225	44263
1566	44171
4934	44157
17879	44068
15197	44044
8037	43951
21784	43927
6152	43895
742	43871
14110	43803
4845	43747
4152	43592
11268	43439
3359	43414
23424	43362
17596	43353
9382	43351
3160	43307
11018	43277
6313	43164
14486	43127
12927	43125
7317	43122
23276	43087
2229	43083
10796	43081
9508	43020
3536	42988
11751	42917
17415	42710
10289	42637
25288	42601
4745	42335
1455	42284
11205	42282
8507	42138
7477	42125
4929	42081
484	42073
13806	42061
2189	42045
5314	41968
12218	41959
9835	41940
16981	41867
14365	41822
5797	41748
3999	41725
6981	41659
9030	41629
739	41626
10085	41591
4271	41550
11095	41338
23102	41291
10103	41212
777	41128
9574	41053
18884	41012
9662	40959
25713	40954
11985	40939
3729	40871
9100	40681
6886	40661
1839	40657
5026	40642
4754	40487
12051	40472
7066	40454
5790	40432
7191	40406
5014	40393
4900	40350
9199	40337
10654	40333
22839	40324
1773	40199
7613	40198
15484	40185
10893	40174
19180	40171
6419	40146
743	40136
1193	40132
16935	40044
4750	40016
2446	39924
17480	39904
4339	39870
767	39778
4875	39730
8736	39639
8878	39620
9964	39455
17445	39454
525	39434
13512	39420
18535	39345
16535	39170
20154	39143
18258	39109
9854	39023
10152	38975
22999	38889
4002	38882
12828	38871
22044	38861
16313	38850
5292	38828
1459	38763
17645	38634
17005	38630
4004	38601
1725	38599
14117	38561
14298	38540
15147	38532
19481	38474
104	38425
14637	38389
22563	38369
3760	38350
12598	38322
7462	38303
611	38268
9987	38236
9829	38221
1957	38216
0	38157
20417	38147
9620	38110
7234	38092
1887	38055
8895	38054
15810	38044
22932	38018
