image_id	total_votes
1437	188756
2713	180412
19697	175840
20727	174412
7344	170269
3340	163797
222	161650
12194	158285
15777	154682
18138	144229
1141	144194
4877	143990
651	143365
1905	141252
10663	140173
18529	135252
18113	134473
2285	134413
20414	133754
2082	129457
7626	129191
7915	128117
10125	126850
22478	126125
25049	121293
2507	121127
840	119959
10188	119372
280	117719
546	117499
12492	117392
8116	117151
1537	116251
1307	115524
1833	115041
15566	114776
3079	114719
4548	114330
15155	114199
8301	113529
21626	113315
20750	112413
3975	112195
11098	111788
15006	110670
15221	110600
22214	110505
4299	109032
16759	107853
7980	107783
11747	105413
7050	105345
15133	105329
17494	105199
21628	103702
15008	103163
3714	103157
3897	102914
6819	102674
2247	102181
17385	102124
22437	101939
8434	101518
9208	101336
22262	101275
8932	101254
6402	100474
1469	99751
411	99717
16948	99511
2521	99019
2755	99005
17917	98645
7782	98382
10926	97991
2901	97898
5021	97878
12608	97712
6825	97025
4969	96958
486	96919
13660	96834
6923	96058
4082	96016
10541	95971
10008	95529
1757	95281
18217	95053
1179	94309
15091	94182
14433	93805
667	93177
6037	93166
989	93004
10972	92926
5861	92603
9900	92158
6858	92137
17631	92120
20703	91733
966	91522
20212	91150
7751	90943
8346	90534
18203	90504
3587	89839
19925	89547
2044	89296
5143	89119
1692	88890
24765	88709
17318	88156
6454	88012
7416	87864
10473	87767
3731	87738
937	87722
25600	87479
7554	87451
8191	87363
24395	87083
1914	87014
23047	86984
16327	86818
2965	86520
3783	86466
21402	86466
10491	86309
9822	86205
15422	86160
7361	85898
7984	85710
2508	85578
12310	85563
2591	85511
7993	85469
6126	85466
20134	85333
4934	85308
7029	85258
5915	85183
8418	85079
3363	85048
4225	84513
12119	84465
6844	84445
3800	84310
16861	84302
12853	84245
22758	84239
21260	84209
14110	84198
11018	84121
9871	83985
1168	83985
10194	83914
8035	83913
3359	83799
13138	83730
21784	83727
4160	83650
1566	83349
11920	83105
21772	83032
141	82921
9508	82736
5918	82715
1121	82712
3052	82644
17415	82484
5267	82398
8037	82349
13806	82293
5822	82268
11268	81938
996	81898
10796	81863
5848	81707
3160	81687
2189	81679
9023	81672
